code_insee_region,code_insee_dep,rs_icon,nom,nom_rs,url,latitude,longitude
84,1,telegram,Ain,+ZGgNVBU6mSEwNGQ0,https://t.me/+ZGgNVBU6mSEwNGQ0,46.0997671581629,5.34873032104146
84,3,telegram,Allier,+VFRy-ZfSY6QwY2Rk,https://t.me/+VFRy-ZfSY6QwY2Rk,46.3936406719208,3.18764486326068
84,7,telegram,Ardèche,+e6HcO3Fq_MViYzZk,https://t.me//+e6HcO3Fq_MViYzZk,44.7527552575178,4.42560660942855
76,12,telegram,Aveyron,+q3dsx7KFvWI4Yjk0,https://t.me/+q3dsx7KFvWI4Yjk0,44.2810927578172,2.67856609933218
84,15,telegram,Cantal,+q3dsx7KFvWI4Yjk0,https://t.me/+aSs9MVDIrDdhYTdk,45.0512544427698,2.66900714956007
27,25,telegram,Doubs,doubs10Sep,https://t.me/doubs10Sep,47.165957182681,6.36273109908717
84,26,telegram,Drôme,+e6HcO3Fq_MViYzZk,https://t.me//+e6HcO3Fq_MViYzZk,44.6852183299174,5.16738893349826
,31,telegram,Haute-Garonne,+c0kAEvwvEJtiYTY8,https://t.me/+c0kAEvwvEJtiYTY8,,
53,35,telegram,Ille-et-Vilaine,+Mqrir6Q8w1U4NmVk,https://t.me/+Mqrir6Q8w1U4NmVk,48.1550674097419,-1.63814124623274
84,38,telegram,Isère,IndignonsnousIsere,https://t.me/IndignonsnousIsere,45.2639297501076,5.57419814523139
84,42,telegram,Loire,+sU3LLbwW12IwMjBk,https://t.me/+sU3LLbwW12IwMjBk,45.7280202256173,4.16453524795746
84,43,telegram,Haute-Loire,+E27DUVUAQx41NGJk,https://t.me/+E27DUVUAQx41NGJk,45.126351,3.805733
52,44,telegram,Loire-Atlantique,+sKVR6vGagq82OTA0,https://t.me/+sKVR6vGagq82OTA0,47.363047030632,-1.67889828701279
24,45,telegram,Loiret,+7moVpfgguQwyZjJk,https://t.me/+7moVpfgguQwyZjJk,47.9118852287315,2.34397155601261
52,49,telegram,Maine-et-Loire,+sH1EnfLBhMY4M2M0,https://t.me/+sH1EnfLBhMY4M2M0,47.3898859106474,-0.55945478722489
52,53,telegram,Mayenne,+a8Tv2s6foOxhNzE0,https://t.me/+a8Tv2s6foOxhNzE0,48.1472872474867,-0.65741438500218
27,58,telegram,Nièvre,c2538292516/23,https://t.me/c/2538292516/23,47.1157327467376,3.50421129285905
,60,telegram,Oise,+EIr-ak1256wzZWFk,https://t.me/+EIr-ak1256wzZWFk,49.4120546,2.4064878
84,63,telegram,Puy-de-Dôme,bloquons63,https://t.me/bloquons63,45.7259016084721,3.14016330415279
44,67,telegram,Bas-Rhin,10sept25basrhin,https://link.infini.fr/10sept25basrhin,48.6714457799759,7.55203680243552
44,68,telegram,Haut-Rhin,+dAf_whfVF2s1MGRk,https://t.me/+dAf_whfVF2s1MGRk,47.8594555770783,7.27394963361901
84,69,telegram,Rhône,+wMC00KhgGZI2ZmFk,https://t.me/+wMC00KhgGZI2ZmFk,45.8710114948659,4.64083805339248
27,71,telegram,Saône-et-Loire,+FAOiwCmuv1dhMDA0,https://t.me/+FAOiwCmuv1dhMDA0,46.6447719537057,4.54277293221123
52,72,telegram,Sarthe,+hh9tPqdATphiZjE8,https://t.me/+hh9tPqdATphiZjE8,47.9949400749774,0.222558829141007
84,73,telegram,Savoie,+p5TyIw3AYqtmOGVk,https://t.me/+p5TyIw3AYqtmOGVk,45.4775792495372,6.44281747662092
84,74,telegram,Haute-Savoie,+g8gK3s_SLZ5mMTU0,https://t.me/+g8gK3s_SLZ5mMTU0,46.0346393274433,6.42831033845762
11,75,telegram,Paris,+9gxXN61OSBw4YWRk,https://t.me/+9gxXN61OSBw4YWRk,48.8566143351404,2.3429187937192
11,77,telegram,Seine-et-Marne,+rkUgIevw6EM3ZDY0,https://t.me/+rkUgIevw6EM3ZDY0,48.6274987226065,2.9340854276159
11,78,telegram,Yvelines,+q52fTby8owBmNTA0,https://t.me/+q52fTby8owBmNTA0,48.8153243501045,1.84125974704453
52,85,telegram,Vendée,vendee10S,https://t.me/vendee10S,46.6750453882234,-1.29849083755285
44,88,telegram,Vosges,+KsMKfMWAJpxhZjFk,https://t.me/+KsMKfMWAJpxhZjFk,48.1962901403276,6.38013008094864
45,89,telegram,Vosges,indignonsnousvosge,https://www.instagram.com/indignonsnousvosges/,48.1,6
27,89,telegram,Yonne,+iD-DeyFq66FjMzlk,https://t.me/+iD-DeyFq66FjMzlk,47.840515089836,3.56331862412441
11,91,telegram,Essonne,+ZMP8cVktBdQ2YjM0,https://t.me/+ZMP8cVktBdQ2YjM0,48.5226198884686,2.24338748665539
11,92,telegram,Hauts-de-Seine,+iMFbUWAScFw5MzFk,https://t.me/+iMFbUWAScFw5MzFk,48.8475388508384,2.24606874275799
11,93,telegram,Seine-Saint-Denis,+eo1IAGG_uV9lN2Zk,https://t.me/+eo1IAGG_uV9lN2Zk,48.9176098962278,2.47854089128323
11,94,telegram,Val-de-Marne,+MVVfx3Afj6AzNzFk,https://t.me/+MVVfx3Afj6AzNzFk,48.7774364130303,2.46928738518856
